 BATCH 25 - 29 (SEM 2) - Sprint 2                                                ,,,,,,
Date,Subject,Mode of Exam,Time Slot ,Roll Number,No. of Students,Class Details
8/10/2026,Java Programming,Theory (MCQ),1:00 PM –01:30 PM,150096725002 to 150096725027,23,
,,Theory (MCQ),1:00 PM –01:30 PM,150096725028 to 150096725052,23,
,,Theory (MCQ),1:00 PM –01:30 PM,150096725053 to 150096725080,24,
,,Theory (MCQ),1:00 PM –01:30 PM,150096725081 to 150096725108,23,
,,Theory (MCQ),1:00 PM –01:30 PM,150096725109 to 150096725138,24,
,,Theory (MCQ),1:00 PM –01:30 PM,150096725139 to 150096725167,23,
,,Theory (MCQ),1:00 PM –01:30 PM,150096725168 to 150096725191,24,
,,Theory (MCQ),1:00 PM –01:30 PM,150096725192 to 150096725220,25,
,Computer Networking & Cyber Security Basics,Theory (MCQ),02:00 PM – 03:00 PM,150096725002 to 150096725027,23,
,,Theory (MCQ),02:00 PM – 03:00 PM,150096725028 to 150096725052,23,
,,Theory (MCQ),02:00 PM – 03:00 PM,150096725053 to 150096725080,24,
,,Theory (MCQ),02:00 PM – 03:00 PM,150096725081 to 150096725108,23,
,,Theory (MCQ),02:00 PM – 03:00 PM,150096725109 to 150096725138,24,
,,Theory (MCQ),02:00 PM – 03:00 PM,150096725139 to 150096725167,23,
,,Theory (MCQ),02:00 PM – 03:00 PM,150096725168 to 150096725191,24,
,,Theory (MCQ),02:00 PM – 03:00 PM,150096725192 to 150096725220,25,
,,,,,,
Date,Subject,Mode of Exam,Time Slot ,Roll Number,No. of Students,Class Details
9/10/2026,DBMS - SQL & NoSQL,Theory (MCQ),11:00 AM –11:30 AM,150096725002 to 150096725027,23,
,,Theory (MCQ),11:00 AM –11:30 AM,150096725028 to 150096725052,23,
,,Theory (MCQ),11:00 AM –11:30 AM,150096725053 to 150096725080,24,
,,Theory (MCQ),11:00 AM –11:30 AM,150096725081 to 150096725108,23,
,,Theory (MCQ),11:00 AM –11:30 AM,150096725109 to 150096725138,24,
,,Theory (MCQ),11:00 AM –11:30 AM,150096725139 to 150096725167,23,
,,Theory (MCQ),11:00 AM –11:30 AM,150096725168 to 150096725191,24,
,,Theory (MCQ),11:00 AM –11:30 AM,150096725192 to 150096725220,25,
,"Backend Development - Node.js, MongoDB & Firebase",Theory (MCQ),12:00 PM - 12:30 PM,150096725002 to 150096725027,23,
,,Theory (MCQ),12:00 PM - 12:30 PM,150096725028 to 150096725052,23,
,,Theory (MCQ),12:00 PM - 12:30 PM,150096725053 to 150096725080,24,
,,Theory (MCQ),12:00 PM - 12:30 PM,150096725081 to 150096725108,23,
,,Theory (MCQ),12:00 PM - 12:30 PM,150096725109 to 150096725138,24,
,,Theory (MCQ),12:00 PM - 12:30 PM,150096725139 to 150096725167,23,
,,Theory (MCQ),12:00 PM - 12:30 PM,150096725168 to 150096725191,24,
,,Theory (MCQ),12:00 PM - 12:30 PM,150096725192 to 150096725220,25,
,Go-to-Market & Customer Operations,Theory (MCQ),01:00 PM - 03:00 PM,150096725002 to 150096725027,23,
,,Theory (MCQ),01:00 PM - 03:00 PM,150096725028 to 150096725052,23,
,,Theory (MCQ),01:00 PM - 03:00 PM,150096725053 to 150096725080,24,
,,Theory (MCQ),01:00 PM - 03:00 PM,150096725081 to 150096725108,23,
,,Theory (MCQ),01:00 PM - 03:00 PM,150096725109 to 150096725138,24,
,,Theory (MCQ),01:00 PM - 03:00 PM,150096725139 to 150096725167,23,
,,Theory (MCQ),01:00 PM - 03:00 PM,150096725168 to 150096725191,24,
,,Theory (MCQ),01:00 PM - 03:00 PM,150096725192 to 150096725220,25,
