Date,Subject,Mode of Exam,Time Slot ,Roll Number,No. of Students,Class Details
07/10/2026,"Business & Entrepreneurial Mindset - ECom, AgriTech & Logistics",Theory ,1:00 PM - 1:30 PM,150096726001 to 150096726027,25,
,,Theory ,1:00 PM - 1:30 PM,150096726028 to 150096726051,24,
,,Theory ,1:00 PM - 1:30 PM,150096726052 to 150096726075,24,
,,Theory ,1:00 PM - 1:30 PM,150096726076 to 150096726099,24,
,,Theory ,1:00 PM - 1:30 PM,150096726100 to 150096726123,24,
,,Theory ,1:00 PM - 1:30 PM,150096726124 to 150096726147,23,
,,Theory ,1:00 PM - 1:30 PM,"150096726148 to 150096726171, 150097626073",24,
,,Theory ,1:00 PM - 1:30 PM,150096726172 to 150096726209,23,
,"Mathematics, Statistics & Probability - 1",Theory ,2:30 PM - 4:30 PM,150096726001 to 150096726027,25,
,,Theory ,2:30 PM - 4:30 PM,150096726028 to 150096726051,24,
,,Theory ,2:30 PM - 4:30 PM,150096726052 to 150096726075,24,
,,Theory ,2:30 PM - 4:30 PM,150096726076 to 150096726099,24,
,,Theory ,2:30 PM - 4:30 PM,150096726100 to 150096726123,24,
,,Theory ,2:30 PM - 4:30 PM,150096726124 to 150096726147,23,
,,Theory ,2:30 PM - 4:30 PM,"150096726148 to 150096726171, 150097626073",24,
,,Theory ,2:30 PM - 4:30 PM,150096726172 to 150096726209,23,
08/10/2026,German Language,Theory ,11:00 AM - 12:00 PM,150096726001 to 150096726027,25,
,,Theory ,11:00 AM - 12:00 PM,150096726028 to 150096726051,24,
,,Theory ,11:00 AM - 12:00 PM,150096726052 to 150096726075,24,
,,Theory ,11:00 AM - 12:00 PM,150096726076 to 150096726099,24,
,,Theory ,11:00 AM - 12:00 PM,150096726100 to 150096726123,24,
,,Theory ,11:00 AM - 12:00 PM,150096726124 to 150096726147,23,
,,Theory ,11:00 AM - 12:00 PM,"150096726148 to 150096726171, 150097626073",24,
,,Theory ,11:00 AM - 12:00 PM,150096726172 to 150096726209,23,
